,place_name,comment,rating,date,userid
0,꽃가람,사장 말투가 은근히 사람 무시하는 듯 말까서 기분나쁨,1,2021.10.10.,성산리주민
1,꽃가람,꽃가람 커플메뉴B먹었는데 모든메뉴가 존맛탱이었습니다 한라산등반과 서핑으로 지친상황에서 위로가 되는 맛이었습니다 ,5,2021.10.05.,.!
2,꽃가람,깔끔하고 맛있어요,5,2021.09.30.,S2
3,꽃가람,깔끔하고 담백한 고기국수! ,5,2021.09.22.,앵버렐라
4,꽃가람,비빔.고기국수 돔베고기 최고에요! 몸국은 쏘쏘 홀에있는 남자직원분 사장님인지 모르겠는데 엄청 시크함.. 그래서 별 하나 뺌,4,2021.09.14.,미니빅
5,꽃가람,고기 냄새 하나도 안나고 국물도 진하고 맛있어요,5,2021.08.30.,돌돌
6,꽃가람,와 여기 고기 넘 맛있어요. 꼭 세트로 드세요ㅜㅜㅜ 몸국도 어떤 곳은 하얀 국물인데 여긴 빨갛고 더 국밥느낌이에요. 맛있어요!,4,2021.08.06.,미미
7,꽃가람,맛있는데 1점주는건 뭐임ㅋㅋ ,5,2021.07.15.,맛집탐방러
8,꽃가람,"맛있는음식, 착한가격",5,2021.07.05.,유승봉
9,꽃가람,"가게도 깔끔하고, 고기국수 몸국 다 맛있었어요. 고기국수 국물맛이 좋아서 다음에 또 가고싶네요.",5,2021.05.22.,Hak2
10,꽃가람,몸국 먹었는데 조금 싱거워요,3,2021.02.17.,밀키
11,꽃가람,첫날은 몸국 둘째날은 고기국수! 사장님이 사알짝 무뚝뚝하긴하지만 맛은 최고..!,5,2021.02.16.,배열매
12,꽃가람,아주깔끔한 맛. Since 2017 당황.. ㅋㅋㅋㅋ1917도 아니고 2017이라니!!! 비빔국수는 한 젓갈 하자마자 아씨 하고 너무 맛있었는데 고기국수는 너무 서울맛이라 아쉬웠어요. 뭔가 좀더 깊고 돼지육수맛나는 고기국수를 좋아해서 그런 것 같음 그렇치만 국수2+돔베고기 27000원 세트는 전반적으로 한끼 식사에 만족스러운 맛집 양도 겁나 많음 다른집 곱...,4,2020.11.12.,쩝쩝박사
13,꽃가람,맛잇음,5,2020.10.21.,abc
14,꽃가람,작년에는 탑동에 있는 가오겔 욘두닮은 아저씨가 하는 횟집에서 정말 맛없게 먹어 제주음식에 실망했는데  여기 정말 맛있어요,5,2020.08.25.,황금산 gold hwang
15,꽃가람,기대없이 갔는데 너무 맛있게 먹었어요~ 애들이 국물에 밥말아서 너무 잘먹고해서 한그릇 추가했네요. 고기에 잡내도 없고 밑반찬도 맛있었어요~~매장 깨끗. 주차가능합니다. ,5,2020.08.19.,관광객
16,꽃가람,고기국수 비빔국수 둘다 너무 맛납니다~ 양도 낭낭하고 고기가 제대로에요ㅎㅎ,5,2020.08.18.,박건
17,꽃가람,그냥 평타,3,2020.08.07.,오일남
18,꽃가람,몸국에서 고기 비린내라고 해야할지 맛이...   고기국수는 그냥저냥 보통이예요. 고기국수만 조금 먹고 나왔어요.,1,2020.07.19.,나
19,꽃가람,,3,2020.03.28.,나
20,꽃가람,아침식사되서 좋았어요. 후추는 좀 덜어내서 먹는게 좋을것 같네요,4,2020.03.13.,이창복
21,꽃가람,,5,2020.03.04.,SY
22,꽃가람,몸국은 무난하고 고기국수가 맛있어요 비빔도 괜찮긴한데 살짝 물림 돔베고기가 진짜 마싯음,5,2020.03.04.,신정우
